book_title,author,total_borrows,currently_borrowed,report_generated
Exclusive solution-oriented model,Rachel Velez,92,34,5/29/2026
Team-oriented scalable groupware,Kathleen Dickson,83,35,5/29/2026
Cross-group zero tolerance firmware,Kathleen Dickson,80,35,5/29/2026
Centralized mobile archive,Sheila Wheeler,74,33,5/29/2026
Centralized mobile archive,Theresa Carr,74,33,5/29/2026
Grass-roots non-volatile customer loyalty,Rachel Velez,74,26,5/29/2026
Grass-roots non-volatile customer loyalty,Sheila Wheeler,74,26,5/29/2026
Front-line composite policy,Stephanie Davis,70,32,5/29/2026
Front-line composite policy,Rachel Velez,70,32,5/29/2026
Focused intermediate projection,Micheal Tanner,60,25,5/29/2026
Focused intermediate projection,Kimberly Martin,60,25,5/29/2026
Managed didactic projection,Rachel Velez,55,20,5/29/2026
Triple-buffered tertiary neural-net,Donna Lopez,53,25,5/29/2026
Triple-buffered tertiary neural-net,Rachel Velez,53,25,5/29/2026
User-friendly disintermediate parallelism,Micheal Tanner,43,15,5/29/2026
Automated well-modulated neural-net,Donna Lopez,42,12,5/29/2026
Automated well-modulated neural-net,Justin Pierce,42,12,5/29/2026
Persistent next generation adapter,Kimberly Martin,39,16,5/29/2026
Secured attitude-oriented framework,Walter Norman,37,14,5/29/2026
Secured attitude-oriented framework,Justin Pierce,37,14,5/29/2026
Multi-channeled well-modulated circuit,Paige Smith,35,16,5/29/2026
Multi-channeled well-modulated circuit,Theresa Carr,35,16,5/29/2026
Implemented human-resource superstructure,Joseph Sloan,29,16,5/29/2026
Organized empowering archive,Donna Lopez,29,16,5/29/2026
Organized empowering archive,Kathleen Dickson,29,16,5/29/2026
Virtual multimedia Internet solution,Daniel Ward,29,18,5/29/2026
Virtual multimedia Internet solution,Sheila Wheeler,29,18,5/29/2026
Enterprise-wide demand-driven secured line,Paige Smith,27,9,5/29/2026
Enterprise-wide demand-driven secured line,Joseph Sloan,27,9,5/29/2026
Reduced value-added circuit,Joseph Sloan,27,11,5/29/2026
Automated global website,Micheal Tanner,23,10,5/29/2026
Automated global website,Kathleen Dickson,23,10,5/29/2026
